Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
800	0.181712270868915	0.00992005978435127	0.181502566756746	0.00382730105301283	1.26322114467621	0.171792211084564	0.22444315252292	0.765415247261868
797	0.189153414733377		0.189423855787594		1.25213968753815	0.179233354949026	0.232392812053515	0.771251715426344
794	0.186631279199632		0.187055721870665		1.24150061607361	0.17671121941528	0.22747819732731	0.776827060753507
791	0.208378220679203		0.210147617454054		1.23109483718872	0.198458160894851	0.253999876328465	0.781331722532854
788	0.208633979535908		0.210542747991415		1.22079539299011	0.198713919751556	0.252357265282294	0.787430944495572
785	0.193069126502093		0.194644489654978		1.21042191982269	0.183149066717742	0.23096930776276	0.792958460549502
782	0.197309831593791		0.199510604442663		1.20004236698151	0.18738977180944	0.234828254578476	0.797986478014794
779	0.20705780232663		0.209999603004572		1.19010949134827	0.197137742542278	0.245367613405671	0.803438317738969
776	0.224281538257868		0.228323919719071		1.1809515953064	0.214361478473517	0.265119639954574	0.808546203933613
773	0.253571701943931		0.259479479706579		1.17244553565979	0.24365164215958	0.299738255544073	0.812881364500212
770	0.309396089271222		0.31863348566528		1.16448152065277	0.29947602948687	0.36658598456819	0.816932567238298
767	0.461964696945584		0.480379204928644		1.15713560581207	0.452044637161233	0.551435175992025	0.819760248968539
764	0.551803517997739		0.574933454123578		1.1508207321167	0.541883458213387	0.657240801193019	0.82448237728054
761	0.443852932491588		0.46074505125954		1.14529764652252	0.433932872707237	0.523306823965901	0.829213098003691
758	0.400627732774171		0.416236585861215		1.14000296592712	0.390707672989819	0.470147807857234	0.831031574454266
755	0.426549590885924		0.443932168331115		1.13479709625244	0.416629531101573	0.499429725433757	0.834210520288372
752	0.472601719302983		0.493085187849065		1.13012480735779	0.462681659518632	0.552922475063667	0.836793005141192
749	0.510122054541243		0.532854383246796		1.12599456310272	0.500201994756891	0.595681618284296	0.839713664822479
746	0.578508122993571		0.605778101217126		1.1224285364151	0.56858806320922	0.675646755622103	0.841546353146758
743	0.675565513963171		0.709293202427035		1.11920189857483	0.66564545417882	0.789558776197608	0.843060040931296
