Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	247.409	9.50148212023949
600	248.53	5.29177273634365
600	249.652	-3.41938240375572
600	250.774	-24.0258586441422
600	251.895	-11.1055218530749
600	253.018	-14.4559616545019
600	254.14	-10.4297730105035
600	255.263	14.4686294317608
600	256.386	5.62099561175348
600	257.509	22.1163358135534
600	258.632	-1.58302431554436
600	259.756	-28.6307080477612
600	260.88	-13.5999287746247
600	262.004	-2.51489213108898
600	263.128	-26.2132912922379
600	264.252	3.56815050468591
600	265.377	14.3094331716392
600	266.502	39.1207845969674
600	267.627	-13.7516212213246
600	268.753	-7.4046396539654
600	269.879	-15.9207752000085
600	271.005	22.4349655414639
600	272.131	9.38652233347124
600	273.257	-13.0274674707684
600	274.384	25.2576137695844
600	275.511	-23.2901310848787
600	276.638	5.70173687580612
600	277.765	43.5750200107823
600	278.893	2.80676175973934
600	280.02	-12.9697501593764
600	281.149	-11.8782356744544
600	282.277	-28.9080648040882
600	283.405	34.0695022497141
600	284.534	-1.77792144217581
600	285.663	27.3062956725245
600	286.792	15.7394542935933
600	287.922	3.43207902248217
600	289.051	4.37626357300345
600	290.181	-9.55086667872955
600	291.311	-1.77681481557799
600	292.441	-2.54266543355872
600	293.572	24.493209334637
600	294.703	-5.90069717819254
600	295.834	8.35796229954535
600	296.965	-10.8899801828484
600	298.096	-11.604163812906
600	299.228	21.4462754527466
600	300.36	15.7505054858307
600	301.492	-6.54837822736037
600	302.624	15.5337044044967
600	303.757	22.8218823933239
600	304.89	30.9603123679271
600	306.023	4.91153861454534
600	307.156	0.922078461899989
600	308.29	4.77514032666036
600	309.423	5.72872365457646
600	310.557	-8.96034256378188
600	311.691	-3.34745645285956
600	312.826	2.3185343060199
600	313.96	-0.0631378085296976
600	315.095	-1.59126214931835
600	316.23	-0.761756835572518
600	317.365	-23.521657412203
600	318.501	8.96775871101154
600	319.637	-15.4855019537741
600	320.773	-3.28577573191357
600	321.909	8.27478326917436
600	323.045	-9.98979450688649
