Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	0.902774062554802	0.00989417472700536	1.17066116536621	0.00373205658947281	0.984116673469543	0.892879887827797	1.14839439270415	0.777502827861529	3.1130470043146E-4	99.9283451281142
595	0.959061072217586		1.24634098012729		0.982812881469727	0.94916689749058	1.2212520566822	0.777208023763091	2.81089858884564E-4	99.9352976091444
590	1.01943022358769		1.32759782489538		0.982779562473297	1.00953604886069	1.30106822054905	0.775928604600503	2.8695570199589E-4	99.9339478318787
585	1.0701848980675		1.39648828665624		0.981987595558167	1.0602907233405	1.36766934156192	0.77525370432711	2.96473677493826E-4	99.9317577086243
580	1.10868563643905		1.44925094635752		0.980610847473145	1.09879146171205	1.41749150353388	0.775166171347554	2.75887260794075E-4	99.9364947836985
575	1.14953533598286		1.50540373971224		0.979297995567322	1.13964116125585	1.47058406928233	0.77495818502373	2.62011836987806E-4	99.9396877401561
570	1.19548442698578		1.56845981123763		0.978484988212585	1.18559025225877	1.5310626185628	0.77435778124586	2.78961430195284E-4	99.9357873820625
565	1.23919374382772		1.62843366048529		0.978631198406219	1.22929956910072	1.58998367767307	0.773152319965819	2.81619630796327E-4	99.9351757036549
560	1.29479579865926		1.70410293752668		0.979763388633728	1.28490162393225	1.66596113624115	0.771267465957417	2.83139500301021E-4	99.9348259682414
555	1.36295638798651		1.7964477479487		0.981100916862488	1.35306221325951	1.75883500846631	0.769294565292606	2.88237196162742E-4	99.9336529522807
550	1.43511344641401		1.89392985937559		0.982443392276764	1.425219271687	1.85701234144328	0.767479698373634	2.71928067008544E-4	99.9374058469726
545	1.50847011726347		1.99280013974224		0.982752025127411	1.49857594253646	1.95476068683468	0.766628852641336	2.69832434595466E-4	99.9378880832915
540	1.57669584330921		2.08459589376998		0.982404112815857	1.5668016685822	2.04424919185591	0.766443579786745	5.11544913724364E-4	99.8822817730553
535	1.65519425058832		2.18842494364806		0.983403861522675	1.64530007586131	2.14843542137454	0.765813139874911	2.50591020443828E-4	99.9423159288499
530	1.74388114415484		2.306408292786		0.985359311103821	1.73398696942784	2.26896346979375	0.764219870664316	2.59486882791419E-4	99.9402687833837
525	1.83879308530391		2.43218227177562		0.986455500125885	1.82889891057691	2.39555807155226	0.763454216491536	2.88686545855764E-4	99.9335495543907
520	1.94072379595619		2.56626366284142		0.98695296049118	1.93082962122918	2.52909815514258	0.763445901576853	2.78900073530106E-4	99.9358015008858
515	2.04795109228066		2.70646774797455		0.987989187240601	2.03805691755365	2.67027363905771	0.763238975864979	2.76197001398998E-4	99.9364235086061
510	2.15162228205196		2.8411708724363		0.989577054977417	2.14172810732495	2.80786434706432	0.76276053348666	2.72921942227776E-4	99.9371771422535
505	2.29137007873476		3.02172760755468		0.991617441177368	2.28147590400776	2.9926970257328	0.762347770051701	2.809939408485E-4	99.9353196808007
500	2.47961995225013		3.26359973793586		0.993805527687073	2.46972577752313	3.23967452125048	0.762337624141896	2.79227209526697E-4	99.9357262234253
495	2.90058236878094		3.81083582949921		0.99499124288559	2.89068819405393	3.78803491480188	0.763110229728471	2.850673889768E-4	99.9343823457693
490	3.09183649643469		4.04896200530552		0.99444317817688	3.08194232170769	4.02275132665748	0.7661279734804	2.74288720211264E-4	99.9368626281986
485	3.50686824526459		4.57803054323053		0.996731162071228	3.49697407053758	4.5593458462504	0.766990307044483	2.80238971534851E-4	99.9354934066213
480	3.7825580146708		4.91566171131502		0.998985171318054	3.7726638399438	4.90694488762823	0.768841698111534	2.97239844196284E-4	99.9315814127677
475	4.72828504702467		6.12454808343767		1.00243234634399	4.71839087229767	6.13570397133336	0.769005625816121	2.66215652762124E-4	99.9387203642857
470	5.98375152638308		7.70410077243859		1.00769698619843	5.97385735165607	7.75963834757779	0.769862857528771	2.78553775448605E-4	99.935881187807
465	6.09944361088173		7.81475172170348		1.01307439804077	6.08954943615473	7.91314404532	0.769548665015926	3.24588137284092E-4	99.9252887421414
460	5.72987772368657		7.32761603273201		1.01598358154297	5.71998354895957	7.44094587288645	0.768717263460042	3.00008490572695E-4	99.9309443465824
455	5.30126036944221		6.79204689180563		1.01623702049255	5.2913661947152	6.89853684230547	0.767027315454163	2.96188777562673E-4	99.9318232645119
