Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	247.409	-7.80301130758028
600	248.53	-42.3618008877371
600	249.652	-24.2032000329868
600	250.774	-18.3802618143778
600	251.895	-20.6919412725345
600	253.018	4.79736520871894
600	254.14	-10.3556332035491
600	255.263	13.6598847248657
600	256.386	-18.6702809505703
600	257.509	19.6569723276165
600	258.632	-15.7088220543471
600	259.756	11.8043310848408
600	260.88	7.66927299311976
600	262.004	1.72337367344721
600	263.128	-16.5766320650866
600	264.252	-5.31817598845288
600	265.377	3.55297925538387
600	266.502	19.0381554306518
600	267.627	-24.8554838207001
600	268.753	6.49320421037662
600	269.879	13.9424486264174
600	271.005	8.38047531195085
600	272.131	-4.66759864520938
600	273.257	-14.0104456772988
600	274.384	18.6855932658338
600	275.511	-7.42016904412619
600	276.638	-16.6523306332954
600	277.765	25.8932361526035
600	278.893	-17.4217863201164
600	280.02	34.8504907627515
600	281.149	9.07762123028399
600	282.277	1.82751203659036
600	283.405	24.1412625203958
600	284.534	-4.45027683230804
600	285.663	22.8990014140149
600	286.792	15.7589306699529
600	287.922	11.3536495866789
600	289.051	7.84247285651674
600	290.181	15.5487462614583
600	291.311	3.40973137267103
600	292.441	-2.55023585322186
600	293.572	59.1695538913889
600	294.703	-2.51830187641125
600	295.834	16.7239240549473
600	296.965	19.0588480491161
600	298.096	-13.1813640564539
600	299.228	-0.832544620690038
600	300.36	-11.4983826889448
600	301.492	-8.99780043478724
600	302.624	15.5047002040918
600	303.757	6.48957994589731
600	304.89	-2.46463804493778
600	306.023	-10.5946524153825
600	307.156	-33.3001948302629
600	308.29	15.3829740030781
600	309.423	-0.807532604866401
600	310.557	8.92765752740536
600	311.691	17.8415560252611
600	312.826	34.1122034770397
600	313.96	-2.45368171207665
600	315.095	6.49506992703367
600	316.23	4.07031012423465
600	317.365	-3.22254235594569
600	318.501	3.24610986893076
600	319.637	23.4542828449798
600	320.773	2.44781809284467
600	321.909	6.59830021406708
600	323.045	1.6705919178638
