wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
247.409	2	4064	3.30506803497068	0.00991668623204236	350.0099	4.23976866535039	0.00380053436095822	1	1.01184158554077	2	3.29515134873864	4.28612870996052	0.466621544834201
248.53	33	3489						1		33			7.69925548976432
249.652	1	4521						1		1			0.2333107724171
250.774	19	4331						0.925311547040939		17.5809193937778			4.10181788356509
251.895	3	4358						0.921467655003071		2.76440296500921			0.644964991038422
253.018	-44	4324						0.92431284058094		-40.6697649855614			-9.48869428280327
254.14	22	4558						0.919715992212295		20.2337518286705			4.72075226804303
255.263	82	4694						0.930799100995064		76.3255262815952			17.8075674919007
256.386	-43	4771						0.937153578042984		-40.2976038558483			-9.4018650821663
257.509	85	4413						0.949099625766277		80.6734681901336			18.8219891770065
258.632	-33	4609						0.957326894283295		-31.5917875113487			-7.37070434630968
259.756	32	4608						0.972303986310958		31.1137275619507			7.25916781025394
260.88	15	4505						0.982637572288513		14.7395635843277			3.43889896495046
262.004	93	5107						0.986034608602524		91.7012186000348			21.3948821431635
263.128	-30	4615						1.01152352046967		-30.34570561409			-7.07998001636527
264.252	25	5051						1.0250078253746		25.6251956343651			5.97863418679303
265.377	72	4580						1.03853230035305		74.7743256254196			17.4456556686344
266.502	117	4491						1.04976883935928		122.822954205036			28.6559183161272
267.627	27	4382						1.06614746153355		28.7859814614058			6.71607956954491
268.753	48	4131						1.07045086801052		51.381641664505			11.9878905048043
269.879	66	4198						1.07540285468102		70.976588408947			16.559602665222
271.005	44	4853						1.07964330971241		47.504305627346			11.0832662390541
272.131	127	4838						1.07961494445801		137.111097946167			31.9894961687769
273.257	70	4928						1.08346064424515		75.8422450971603			17.6948127854655
274.384	67	4719						1.08260107326508		72.5342719087601			16.9230270057448
275.511	-17	4769						1.07637163162231		-18.2983177375793			-4.26919464528817
276.638	125	5070						1.07179044699669		133.973805874586			31.2575321322584
277.765	22	4397						1.0713169503212		23.5689729070663			5.49889527402536
278.893	56	4585						1.06080207884312		59.4049164152146			13.859806934207
280.02	134	5515						1.06084104061127		142.15269944191			33.1657561079679
281.149	74	4514						1.05004143643379		77.7030662961006			18.1289624167204
282.277	34	4864						1.04244767904282		35.4432210874558			8.26928528886437
283.405	76	5142						1.03503982007504		78.6630263257027			18.3529314327164
284.534	141	4558						1.02977042365074		145.197629734755			33.8761711465477
285.663	53	4322						1.02080096006393		54.1024508833885			12.6226846052616
286.792	113	4884						1.01475157928467		114.666928459167			26.7530296495048
287.922	43	4957						1.01201539897919		43.516662156105			10.1529060606549
289.051	112	4792						1.00734438562393		112.82257118988			26.3227212303943
290.181	142	4868						0.998710796535015		141.816933107972			33.0874182052453
291.311	133	5013						0.990505812764168		131.737273097634			30.7357249425316
292.441	151	4932						0.986078617393971		148.89787122649			34.7394773471142
293.572	206	4779						0.977937115192413		201.455045729637			47.0016323265039
294.703	120	5021						0.971070101201534		116.528412144184			27.1873338458978
295.834	112	4713						0.967555964827537		108.366268060684			25.2830177051968
296.965	178	4927						0.958874736428261		170.67970308423			39.8214133625032
298.096	126	5056						0.951765494823456		119.922452347755			27.9791999874077
299.228	228	4143						0.950759452342987		216.773155134201			50.5755122636524
300.36	125	4158						0.950849938392639		118.85624229908			27.7304416973924
301.492	112	4519						0.946665534734726		106.026539890289			24.7371339185159
302.624	175	4515						0.9444794049263		165.283895862103			38.5625134116947
303.757	96	4764						0.940896519899368		90.3260659103394			21.0740442069392
304.89	157	4634						0.94010116994381		147.595883681178			34.4357096272402
306.023	269	4633						0.942129963457584		253.43296017009			59.128639693236
307.156	256	4390						0.939862842559814		240.604887695313			56.1357121955231
308.29	451	5298						0.938178123235703		423.118333579302			98.7180652312233
309.423	477	4552						0.939299685955048		448.045950200558			104.533946719646
310.557	722	4461						0.938061773300171		677.280600322723			158.016860004412
311.691	845	4483						0.938911969423294		793.380614162683			185.104243911049
312.826	840	4297						0.94006462597847		789.654285821915			184.234851367585
313.96	1027	4900						0.937823309898376		963.144539265633			224.711996405377
315.095	1322	4436						0.936879434585571		1238.55461252213			288.9681333283
316.23	1547	4839						0.93723745405674		1449.90634142578			338.2787684505
317.365	1793	4519						0.935165983438492		1676.75260830522			391.204446196078
318.501	1960	4575						0.93718681371212		1836.88615487576			428.56532763634
319.637	2198	4985						0.935485493659973		2056.19711506462			479.73293715754
320.773	2276	4844						0.943891193270684		2148.29635588408			501.220682172156
321.909	2386	4607						0.954208368599415		2276.7411674782			531.188240378151
323.045	2350	4403						0.960704495310784		2257.65556398034			526.735363484018
324.182	2356	4334						0.970674723386765		2286.90964829922			533.56065649281
325.318	2308	4771						0.976976701498032		2254.86222705746			526.083647888919
326.455	2124	5400						0.983147080540657		2088.20439906836			487.200581311425
327.593	2176	5002						0.988878651857376		2151.79994644165			502.038107591377
328.73	2121	4334						0.994296656847		2108.90320917249			492.029836684935
329.868	2064	4664						0.999411975383758		2062.78631719208			481.27026899551
331.006	2157	4666						1.00141954398155		2160.06195636821			503.96572350906
332.144	2107	4777						1.00371232891083		2114.82187701511			493.410725650979
333.282	2043	4633						1.00382857680321		2050.82178240895			478.478814143647
334.421	2098	5020						1.00450361943245		2107.44859356928			491.690459194981
335.559	1933	4628						1.00496183311939		1942.59122341979			453.22745882675
336.698	1874	4712						1.00366144108772		1880.86154059839			438.825258846629
337.837	1889	4731						1.00265689241886		1894.01886977923			441.895005480756
338.977	2043	4954						1.00396680414677		2051.10418087184			478.544700747154
340.116	2241	4524						1.00274035453796		2247.14113451958			524.282233825002
341.256	2761	5021						1.00164115619659		2765.5312322588			645.228227941916
342.396	5080	4797						1.00201554250717		5090.23895593643			1187.60758259714
343.537	11661	4623						1.00339006316662		11700.5315265859			2729.8600481584
344.677	24274	4881						1.00478569376469		24390.167930444			5690.48891923468
345.818	42509	5369						1.00535330367088		42736.5635857456			9970.90066064283
346.959	60304	5231						1.0075031017065		60756.4670453091			14175.1382556752
348.1	60624	4911						1.01179790496826		61339.2361907959			14311.1045751496
349.241	60209	5326						1.01561871695518		61149.3873291547			14266.8107905975
350.382	60268	5267						1.01888515901566		61406.1707635555			14326.7211320215
351.524	60288	5247						1.02182632493973		61603.8654779663			14372.8454385435
352.666	60712	4823						1.02538313937187		62253.0611575451			14524.3097839958
353.808	57755	4955						1.02775498008728		59357.9888749409			13848.8582335381
354.951	35158	5116						1.0299445027113		36210.7888263237			8448.3671109021
356.093	18331	5094						1.03344257068634		18944.0357632513			4419.84761662134
357.236	7852	5078						1.03791811180115		8149.73301386261			1901.42050445743
358.379	3086	4799						1.03977746891975		3208.75326908636			748.636703706435
359.522	1630	5271						1.04188874721527		1698.27865796089			396.226705468332
360.666	1257	6068						1.04259371805191		1310.54030359125			305.763170514616
361.809	1165	5749						1.04099815070629		1212.76284557283			282.950636259358
362.953	1052	5876						1.04417902874947		1098.47633824444			256.286362957718
364.097	1000	5311						1.04015420842171		1040.15420842171			242.679181799766
365.241	861	5342						1.0382548199892		893.937400010705			208.565225289032
366.386	911	5300						1.03616512846947		943.946432035685			220.232871178612
367.531	943	5658						1.03225916409493		973.420391741514			227.109463483769
368.675	916	6113						1.03037594854832		943.824368870258			220.204392527202
369.82	900	5910						1.02412230730057		921.710076570511			215.044889909291
370.966	927	6080						1.02308704543114		948.401691114664			221.272331115647
372.111	881	5429						1.02071582627296		899.250642946482			209.804862102418
373.257	802	6028						1.02034739267826		818.318608927965			190.922546732271
374.403	828	5510						1.01651541244984		841.674761508465			196.371788731519
375.549	756	5685						1.00839767217636		762.348640165329			177.864150088099
376.695	758	5724						1.00089833110571		758.680934978128			177.008434957875
377.842	649	5235						0.991592951774597		643.543825701714			150.145707058723
378.988	643	6013						0.980773054122925		630.637073801041			147.134422803381
380.135	584	6108						0.971595996618271		567.41206202507			132.383346469849
381.282	652	5747						0.971028403639793		633.110519173145			147.711504253678
382.43	564	5941						0.969655715227127		546.8858233881			127.59435387864
383.577	638	5555						0.965424752771854		615.940992268443			143.705668669506
384.725	799	6046						0.958190581202507		765.594274380803			178.621391513895
385.873	1124	5684						0.950572406351566		1068.44338473916			249.279351377435
387.021	1596	5995						0.941793430268764		1503.10231470895			350.689962066676
388.169	2489	5366						0.929879232525826		2314.46940975678			539.990645726105
389.318	3855	5551						0.914824156403542		3526.64712293565			822.804764294662
