Wavelength	I	I dark	R	R dark	XCorrect	Ic	Rc	Ic/Rc	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.168024589248651	0.00989297055106107	0.182646157107096	0.00373360522685676	1.26322114467621	0.15813161869759	0.226006118583097	0.699678485206356	0.00104453777058624	99.759775292518
799	0.173051334643299		0.188449977693952		1.25946629047394	0.163158364092238	0.232644044420934	0.701321903590308	0.0010880579232052	99.7497789805621
798	0.175367859711862		0.19111598472523		1.25578379631042	0.165474889160801	0.235311755888148	0.703215564119361	0.00100771909870925	99.7682330977319
797	0.174874927966395		0.190628462792669		1.25213968753815	0.164981957415334	0.234018468554942	0.70499545798284	9.7978614404951E-4	99.7746501978127
796	0.173059315752886		0.188644906053158		1.24854493141174	0.163166345201825	0.23087006740743	0.706745343968196	9.62172046203747E-4	99.7786969360604
795	0.171411203080944		0.186900145928294		1.24499154090881	0.161518232529883	0.228040793750819	0.708286573964369	9.72278801778459E-4	99.776374946697
794	0.172303434446397		0.188139654361451		1.24150061607361	0.162410463895336	0.228940223608299	0.709401176148098	0.00102847685609385	99.7634646390662
793	0.177194674737522		0.193944034755128		1.23799812793732	0.167301704186461	0.235480155670153	0.710470501050658	0.0010735642496205	99.7531079771796
792	0.184730137086867		0.202787307691899		1.23457276821136	0.174837166535806	0.245746280474989	0.711453968694351	9.84777216763536E-4	99.7735035572418
791	0.191774607655032		0.211000136295252		1.23109483718872	0.181881637103971	0.255164756320317	0.712800779099952	0.00108070155399944	99.7514686230691
790	0.196637782646281		0.216603300945714		1.22767388820648	0.18674481209522	0.2613345670245	0.714581366795279	0.00103152974894318	99.7627633497106
789	0.19712664601713		0.217198102464639		1.22422575950623	0.187233675466069	0.261328736258538	0.716467994093213	0.00102856785234624	99.7634437359674
788	0.192849729148844		0.212407442007097		1.22079539299011	0.182956758597783	0.254748058578888	0.71818705751246	0.00106406982047927	99.7552887766313
787	0.186203349132372		0.204916416684551		1.21735346317291	0.176310378581311	0.244910592258888	0.719896909950463	0.00104829853764103	99.758911427865
786	0.180746826212586		0.198883164374064		1.21391463279724	0.170853855661525	0.236894905432726	0.721222161149617	0.00105562732090682	99.7572279957645
785	0.177713688903233		0.19561232698479		1.21042191982269	0.167820718352172	0.232254210763362	0.722573415571615	9.74209033068213E-4	99.7759314894095
784	0.177441815239464		0.195566352062794		1.20695853233337	0.167548844688403	0.231534170574582	0.723646294940434	0.00107455483454872	99.7528804499677
783	0.179283051537343		0.197830472155675		1.20348119735718	0.169390080986282	0.233591929814771	0.725153823253233	9.76429811021115E-4	99.7754212834742
782	0.181665988386953		0.200714637908006		1.20004236698151	0.171773017835891	0.236385584709148	0.726664521642653	0.00104404581259526	99.7598882979751
781	0.184091124752689		0.203622029826015		1.1966587305069	0.174198154201628	0.239198228423852	0.728258546685197	0.00104674880944525	99.7592674063084
780	0.18650924302916		0.206576860174621		1.19330596923828	0.176616272478099	0.242054066948889	0.729656290036193	0.00106201390770552	99.7557610107176
779	0.190137713816968		0.210892887798671		1.19010949134827	0.180244743265907	0.246542228409614	0.731090752398175	0.0010545789650171	99.7574688028852
778	0.194296370492856		0.215836921020188		1.18701219558716	0.184403399941795	0.251769222571158	0.73243027109748	0.0010556047830442	99.7572331727005
777	0.199416589703049		0.221840087194931		1.1839507818222	0.189523619151987	0.258227339846592	0.733940950112332	9.52556226038695E-4	99.7809061850098
776	0.205602281893298		0.229165387000865		1.1809515953064	0.195709311342237	0.266224022318779	0.735130172092031	9.93678016649039E-4	99.7714587352932
775	0.213506858735492		0.238438818360295		1.17803692817688	0.203613888184431	0.276491408306815	0.736420308433185	9.40565188389846E-4	99.7836612122328
774	0.22227582194203		0.248760740621297		1.17517721652985	0.212382851390969	0.28795030694712	0.737567720078769	0.00106332127815896	99.7554607132383
773	0.232452151704834		0.260546648701033		1.17244553565979	0.222559181153773	0.301099306320502	0.739155409799823	8.66661295905388E-4	99.800642842817
772	0.244299710823448		0.274517540406988		1.1697244644165	0.234406740272387	0.316742593551173	0.740054369209793	9.24877334395859E-4	99.7872657244858
771	0.259894392691677		0.292749286244782		1.16703009605408	0.250001422140616	0.337289997979484	0.741206153868287	9.47837470730537E-4	99.7819903439348
770	0.282724081054128		0.319425142156257		1.16448152065277	0.272831110503067	0.367616960980759	0.742161378449966	9.84242730007819E-4	99.7736263486915
769	0.318755519356199		0.361555677876584		1.16197168827057	0.308862548805138	0.415779117857278	0.742852479934212	0.00103316567006586	99.7623875592937
768	0.366314753785302		0.417155554058226		1.15950226783752	0.356421783234241	0.479363687243782	0.743531044838992	9.70857257513251E-4	99.7767015379195
767	0.422497093038347		0.48291782186186		1.15713560581207	0.412604122487286	0.554481118811527	0.744126550912428	8.47072222257767E-4	99.8051445031317
766	0.474471403133403		0.543531789515166		1.15489220619202	0.464578432582342	0.62340871595117	0.745222870157515	0.00112007913075499	99.7424245453609
765	0.506008661918519		0.579715293093728		1.15279674530029	0.496115691367458	0.663989815125499	0.747173646441683	0.00104982255591771	99.7585613563263
764	0.503166758243351		0.575958080279152		1.1508207321167	0.49327378769229	0.658527789314776	0.749055386418181	0.00103005488549069	99.7631021444906
763	0.478574576945132		0.547153566844444		1.14889180660248	0.468681606394071	0.624330741446679	0.750694424093322	0.00103349147762493	99.7623127176156
