wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
247.409	39	4073	3.30666487220389	0.00990859489296336	350.0099	4.24156266143697	0.00380618068700073	1	1.01184158554077	39	3.29675627731092	4.28793823661773	9.09528026009132
248.53	50	3472						1		50			11.6606157180658
249.652	-7	4505						1		-7			-1.63248620052921
250.774	41	4333						0.925311547040939		37.9377734286785			8.84755594301735
251.895	23	4365						0.921467655003071		21.1937560650706			4.9426449019443
253.018	-22	4355						0.92431284058094		-20.3348824927807			-4.74234500840679
254.14	83	4485						0.919715992212295		76.3364273536205			17.8025948932123
255.263	45	4671						0.930799100995064		41.8859595447779			9.76832156468209
256.386	-22	4810						0.937153578042984		-20.6173787169457			-4.80822660664263
257.509	-61	4466						0.949099625766277		-57.8950771717429			-13.5018449373492
258.632	8	4591						0.957326894283295		7.65861515426636			1.7860833649291
259.756	55	4618						0.972303986310958		53.4767192471027			12.4714294600671
260.88	-21	4510						0.982637572288513		-20.6353890180588			-4.81242683064757
262.004	40	5125						0.986034608602524		39.441384344101			9.19821652450196
263.128	38	4581						1.01152352046967		38.4378937778473			8.96419016710619
264.252	25	5054						1.0250078253746		25.6251956343651			5.97611117985177
265.377	-2	4621						1.03853230035305		-2.0770646007061			-0.484397042608632
266.502	50	4516						1.04976883935928		52.4884419679642			12.2409510285685
267.627	59	4379						1.06614746153355		62.9027002304792			14.6696843003261
268.753	65	4170						1.07045086801052		69.5793064206839			16.2267510820228
269.879	46	4201						1.07540285468102		49.4685313153267			11.5366706761026
271.005	8	4878						1.07964330971241		8.63714647769928			2.01428891954194
272.131	28	4893						1.07961494445801		30.2292184448242			7.04982599485123
273.257	67	4890						1.08346064424515		72.5918631644249			16.9293164123755
274.384	30	4721						1.08260107326508		32.4780321979523			7.57427705478578
275.511	103	4695						1.07637163162231		110.866278057098			25.8553812903211
276.638	-41	5153						1.07179044699669		-43.9434083268643			-10.2481439568323
277.765	-41	4423						1.0713169503212		-43.9239949631691			-10.2436165213554
278.893	82	4557						1.06080207884312		86.9857704651356			20.2861528466765
280.02	124	5567						1.06084104061127		131.544289035797			30.6777480870521
281.149	49	4487						1.05004143643379		51.4520303852558			11.9992470847343
282.277	89	4819						1.04244767904282		92.7778434348106			21.636935588884
283.405	201	5043						1.03503982007504		208.043003835082			48.5181904110596
284.534	109	4558						1.02977042365074		112.244976177931			26.176910669886
285.663	40	4370						1.02080096006393		40.8320384025574			9.52253417595053
286.792	93	4915						1.01475157928467		94.3718968734741			22.0086884805303
287.922	166	4895						1.01201539897919		167.994556230545			39.1783992586276
289.051	97	4771						1.00734438562393		97.7124054055214			22.7877362064328
290.181	81	4881						0.998710796535015		80.8955745193362			18.8658441552427
291.311	124	5033						0.990505812764168		122.822720782757			28.6437709699004
292.441	170	4918						0.986078617393971		167.633364956975			39.0941650057912
293.572	35	4863						0.977937115192413		34.2277990317345			7.9823442276848
294.703	78	5050						0.971070101201534		75.7434678937197			17.6643094452464
295.834	115	4710						0.967555964827537		111.268935955167			25.9492860706255
296.965	180	4894						0.958874736428261		172.597452557087			40.2518513637057
298.096	108	5068						0.951765494823456		102.790673440933			23.9720508479183
299.228	141	4183						0.950759452342987		134.057082780361			31.2637625317345
300.36	144	4136						0.950849938392639		136.92239112854			31.9319877229721
301.492	97	4477						0.946665534734726		91.8265568692684			21.4150838473131
302.624	175	4509						0.9444794049263		165.283895862103			38.5462398806556
303.757	133	4780						0.940896519899368		125.139237146616			29.1840111123719
304.89	226	4547						0.94010116994381		212.462864407301			49.5489563242611
306.023	240	4701						0.942129963457584		226.11119122982			52.7319142097004
307.156	375	4346						0.939862842559814		352.44856595993			82.1953457608422
308.29	442	5283						0.938178123235703		414.674730470181			96.7072536001056
309.423	537	4509						0.939299685955048		504.403931357861			117.633208204913
310.557	612	4522						0.938061773300171		574.093805259705			133.88574498511
311.691	807	4499						0.938911969423294		757.701959324598			176.705427530193
312.826	998	4252						0.94006462597847		938.184496726513			218.796177779496
313.96	1100	4939						0.937823309898376		1031.60564088821			240.583139019729
315.095	1350	4451						0.936879434585571		1264.78723669052			294.96395864325
316.23	1540	4888						0.93723745405674		1443.34567924738			336.605986280687
317.365	1649	4591						0.935165983438492		1542.08870669007			359.63407623764
318.501	1939	4661						0.93718681371212		1817.2052317878			423.794637774724
319.637	2096	5074						0.935485493659973		1960.7775947113			457.277480810437
320.773	2073	4958						0.943891193270684		1956.68644365013			456.323374003059
321.909	2204	4673						0.954208368599415		2103.07524439311			490.463045020907
323.045	2330	4395						0.960704495310784		2238.44147407413			522.032116731182
324.182	2338	4343						0.970674723386765		2269.43750327826			529.260772437888
325.318	2236	4808						0.976976701498032		2184.5199045496			509.456942708373
326.455	2274	5336						0.983147080540657		2235.67646114945			521.38728166778
327.593	2183	5011						0.988878651857376		2158.72209700465			503.440576305368
328.73	2172	4319						0.994296656847		2159.61233867168			503.648191624877
329.868	2113	4622						0.999411975383758		2111.75750398588			492.487854874423
331.006	2088	4721						1.00141954398155		2090.96400783348			487.638555513059
332.144	2049	4772						1.00371232891083		2056.60656193829			479.625976040296
333.282	2039	4622						1.00382857680321		2046.80646810174			477.340473475717
334.421	1948	5051						1.00450361943245		1956.77305065441			456.343571822968
335.559	2034	4601						1.00496183311939		2044.09236856484			476.707512041311
336.698	1953	4622						1.00366144108772		1960.15079444432			457.131303269532
337.837	1961	4649						1.00265689241886		1966.21016603339			458.544423341393
338.977	2026	4888						1.00396680414677		2034.03674520135			474.362416844365
340.116	2224	4586						1.00274035453796		2230.09454849243			520.085510898474
341.256	2813	5034						1.00164115619659		2817.61657238102			657.102881827776
342.396	5058	4824						1.00201554250717		5068.19461400127			1181.96539556479
343.537	11666	4594						1.00339006316662		11705.5484769018			2729.87805116684
344.677	24311	4929						1.00478569376469		24427.3450011133			5696.75766141195
345.818	42565	5328						1.00535330367088		42792.8633707511			9979.82270484045
346.959	60319	5216						1.0075031017065		60771.5795918347			14172.6807240047
348.1	60591	4944						1.01179790496826		61305.8468599319			14297.2784300851
349.241	60246	5289						1.01561871695518		61186.9652216821			14269.5537680938
350.382	60325	5210						1.01888515901566		61464.2472176194			14334.2193440971
351.524	60351	5184						1.02182632493973		61668.2405364375			14381.7930980929
352.666	60786	4749						1.02538313937187		62328.9395098586			14535.8762347806
353.808	57609	4949						1.02775498008728		59207.9366478481			13808.0199342028
354.951	35243	5011						1.0299445027113		36298.3341090542			8465.21850503282
356.093	18209	5065						1.03344257068634		18817.9557696276			4388.57901658372
357.236	7909	5025						1.03791811180115		8208.89434623527			1914.41524883305
358.379	3040	4818						1.03977746891975		3160.92350551605			737.166286240482
359.522	1641	5279						1.04188874721527		1709.73943418026			398.732290399985
360.666	1298	6050						1.04259371805191		1353.28664603138			315.603110715241
361.809	1049	5831						1.04099815070629		1092.0070600909			254.669493782695
362.953	941	5979						1.04417902874947		982.572466053247			229.147998835983
364.097	956	5356						1.04015420842171		994.387423251152			231.903392348186
365.241	906	5310						1.0382548199892		940.658866910219			219.373231376625
366.386	884	5337						1.03616512846947		915.969973567009			213.615477421035
367.531	738	5755						1.03225916409493		761.807263102055			177.66283492529
368.675	918	6179						1.03037594854832		945.885120767355			220.592058134088
369.82	853	5856						1.02412230730057		873.576328127384			203.728757253848
370.966	920	5960						1.02308704543114		941.240081796646			219.50877784543
372.111	856	5454						1.02071582627296		873.732747289658			203.765236128692
373.257	792	6122						1.02034739267826		808.115135001182			188.462400904033
374.403	831	5451						1.01651541244984		844.724307745814			197.000110806662
375.549	805	5653						1.00839767217636		811.760126101971			189.312457714474
376.695	831	5705						1.00089833110571		831.746513148844			193.973529293397
377.842	663	5297						0.991592951774597		657.426127026558			153.31986860546
378.988	660	6032						0.980773054122925		647.31021572113			150.960713518047
380.135	658	6006						0.971595996618271		639.310165774822			149.095003355063
381.282	565	5823						0.971028403639793		548.631048056483			127.947516447727
382.43	587	5858						0.969655715227127		569.187904838324			132.741628593814
383.577	679	5554						0.965424752771854		655.523407132089			152.87613089529
384.725	792	6041						0.958190581202507		758.886940312385			176.981779688829
385.873	1116	5668						0.950572406351566		1060.83880548835			247.400672992231
387.021	1637	6011						0.941793430268764		1541.71584534997			359.547120381578
388.169	2573	5313						0.929879232525826		2392.57926528895			557.978947750933
389.318	3978	5505						0.914824156403542		3639.17049417329			848.699373301566
