Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	247.409	-13.9884419321015
600	248.53	0.964952281272168
600	249.652	-6.89252975799562
600	250.774	-14.3781379048562
600	251.895	-14.3059148010665
600	253.018	-6.43351675232129
600	254.14	5.55144996609003
600	255.263	13.6598847248657
600	256.386	27.6269926080664
600	257.509	9.72889971167053
600	258.632	-21.5583903641229
600	259.756	-29.4959761154178
600	260.88	-12.7507383057059
600	262.004	-0.791042664131582
600	263.128	-34.1374367537501
600	264.252	-13.3700256625909
600	265.377	16.1092785859928
600	266.502	12.6657935962408
600	267.627	-23.0163179011653
600	268.753	-2.75046460704829
600	269.879	5.57012053483559
600	271.005	29.9635169792346
600	272.131	31.00450665725
600	273.257	-17.7268072035329
600	274.384	57.2875064545576
600	275.511	-17.6837935430747
600	276.638	0.138056109426916
600	277.765	34.2766733586659
600	278.893	-6.41024398737082
600	280.02	9.15063587184267
600	281.149	-11.897877313054
600	282.277	-10.7917868419429
600	283.405	-11.8331504793942
600	284.534	20.6206275823559
600	285.663	21.0869416861309
600	286.792	34.2738966928016
600	287.922	6.94104189684966
600	289.051	-20.1578991984586
600	290.181	-1.74460832957999
600	291.311	-0.928930648257294
600	292.441	13.7602783046224
600	293.572	33.8547896697508
600	294.703	7.61041602072153
600	295.834	-4.26809947556881
600	296.965	27.4590681147796
600	298.096	22.3257498361627
600	299.228	12.3693147043799
600	300.36	-8.20831738285184
600	301.492	-4.90331703295608
600	302.624	8.14692003050266
600	303.757	20.3825282118734
600	304.89	1.54025213595303
600	306.023	15.5741330338188
600	307.156	-12.9560652215557
600	308.29	19.4501442803598
600	309.423	8.19139126685164
600	310.557	-17.9489783785258
600	311.691	-31.960610026416
600	312.826	17.016452807569
600	313.96	19.5063672760405
600	315.095	-17.8882464173619
600	316.23	5.77158092326679
600	317.365	-12.1537649981621
600	318.501	11.4281737610834
600	319.637	19.4831097629606
600	320.773	-10.682305225207
600	321.909	6.62219239004487
600	323.045	27.6156746994626
600	324.182	-6.62459835944425
600	325.318	-4.19705979101275
600	326.455	-11.9886190295586
600	327.593	-6.14322356519889
600	328.73	4.36583622944257
600	329.868	34.5643415974945
600	331.006	-2.52556915536909
600	332.144	-10.3771756432274
600	333.282	15.6730494848145
600	334.421	-20.7094237549239
600	335.559	8.65500514943624
600	336.698	22.5473808811631
600	337.837	-17.5150160816691
600	338.977	31.3776405580049
600	340.116	-0.987990568238791
600	341.256	-11.3630413722498
600	342.396	17.3679510327696
600	343.537	2.64617952393475
600	344.677	-5.18391868390749
600	345.818	-16.6056320701307
600	346.959	-27.0779992428443
600	348.1	-8.71387926296375
600	349.241	-5.32243231801861
600	350.382	-9.68901774278307
600	351.524	9.77933300816195
600	352.666	-10.6429346822662
600	353.808	-3.56978619755915
600	354.951	18.6922781921975
600	356.093	-15.3343698630906
600	357.236	15.2178301998958
600	358.379	18.8425386064629
600	359.522	7.09648845441134
600	360.666	-17.1217853904617
600	361.809	-17.04618100591
600	362.953	-23.4859292862481
600	364.097	11.6871235692892
600	365.241	9.9365610223465
600	366.386	17.9387925623598
600	367.531	25.9541352547242
600	368.675	-25.0103166954624
600	369.82	6.05667842421482
600	370.966	-4.51305913125574
600	372.111	7.88877902656026
600	373.257	-11.5890875536791
600	374.403	22.8912779987731
600	375.549	-38.4050052728348
600	376.695	-28.6692733198782
600	377.842	-11.8764916362315
600	378.988	-2.59983119587453
600	380.135	-3.31544290284121
600	381.282	6.71259117823065
600	382.43	21.071272177366
600	383.577	7.58580765516939
600	384.725	22.4309925535835
600	385.873	-13.232583670943
600	387.021	-6.56795693334216
600	388.169	21.7304070197775
600	389.318	10.2975269376775
600	390.467	18.0174875046861
600	391.616	13.2605962588089
600	392.765	13.9656612169147
600	393.914	-12.2625154208521
600	395.064	-33.7092257871064
600	396.213	3.7103947374058
600	397.363	-10.3115655110186
600	398.513	-31.8643118065944
600	399.664	14.0921806322293
600	400.814	-4.95995124468161
600	401.965	25.9372594907855
600	403.116	13.9269715150622
600	404.267	-0.680108703785392
600	405.418	13.8911195719427
600	406.57	12.409263941659
600	407.721	4.08662749258148
600	408.873	-1.43790206298514
600	410.025	-1.33225402089619
600	411.178	6.04946289652275
600	412.33	-15.457792382789
600	413.483	-15.4514975398604
600	414.636	0.635910475927454
600	415.789	-32.5827058034232
600	416.942	15.8197148893206
600	418.095	-13.1499144345083
600	419.249	-16.9098746434658
600	420.403	-7.1178914901116
600	421.557	-6.52883510099696
600	422.711	-6.3511826016488
600	423.865	-2.60995611991162
600	425.02	-4.57023153341422
600	426.175	-3.797920324348
600	427.33	-0.0395739843516481
600	428.485	-13.2102859500151
600	429.64	20.6884640251842
600	430.796	-1.90116550095069
600	431.951	-11.8602090119915
600	433.107	-4.96251184063972
600	434.263	-21.7482577219167
600	435.419	4.39122738485424
600	436.576	11.1948798201967
600	437.733	6.71838318884763
600	438.889	11.7446495220535
600	440.046	-6.72863623335623
600	441.204	23.3480786068709
600	442.361	6.13515145910982
600	443.518	10.9805307776469
600	444.676	-6.79035333252598
600	445.834	20.5924621482025
600	446.992	13.2182227699029
600	448.151	-4.20127145738269
600	449.309	10.1193439490599
600	450.468	2.39560109153502
600	451.627	-14.8855563403929
600	452.786	-7.69136841645117
600	453.945	7.72668154428256
600	455.104	3.04532103346527
600	456.264	2.95250579925799
600	457.423	-15.2618895507708
600	458.583	9.40718232575993
600	459.743	-2.39985904464856
600	460.904	-2.98349800110308
600	462.064	24.4182535887412
600	463.225	-5.21438249437397
