Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
560.138	6.97386395270428				
561.313	6.52448030020975				
562.487	0.468099948274659				
563.661	7.80659507197301				
564.836	6.73447682930147				
566.011	4.24226114506492				
567.186	-1.10061873401764				
568.361	5.35847800654884				
569.536	2.52417380653735				
570.711	14.2394154790317				
571.887	6.04297731051523				
573.062	-4.77953531429947				
574.238	-1.7580892479385				
575.414	1.12193514521984				
576.59	8.52414417425675				
577.766	6.93426997907671				
578.942	0.161556111166151				
580.119	7.61425797237003				
581.295	6.00123459285512				
582.472	1.62418618979411				
583.649	-9.41728111838128				
584.826	8.13569423408423				
586.003	-4.89051701764885				
587.18	15.1962866622979				
588.358	129.078969049534				
589.535	-7.7148003465724				
590.713	3.45275346111788				
591.891	-1.48211845829582				
593.069	-3.45809617287097				
594.247	9.89610112417056				
595.425	2.31493496191983				
596.603	-2.98335710878413				
597.782	2.32361047856851				
598.96	-2.99425840576964				
600.139	5.32550519235317				
601.318	-5.33807694847059				
602.497	4.01264652185823				
603.676	7.53435973517544				
604.855	7.22463282056932				
606.035	-5.2265999047758				
607.214	2.02553202417503				
608.394	1.35247736397596				
609.574	2.37147992545279				
610.753	-0.848482761765253				
611.933	-11.9118848988598				
613.114	9.56411133290313				
614.294	7.02056176623664				
615.474	-8.93855561494902				
616.655	1.20532077979869				
617.835	20.179952996499				
619.016	15.0184332111892				
620.197	20.4486504748634				
621.378	6.24952849411378				
622.559	-0.347380553773167				
623.741	-1.04590594018113				
624.922	1.04881530239623				
626.103	15.4281686392621				
627.285	-2.10760474784862				
628.467	1.40808887421753				
629.649	2.11834612299072				
630.831	13.4327957109646				
632.013	2.83516012892293				
633.195	-6.56870925433674				
634.377	2.30790116981038				
635.56	2.30876213829205				
636.742	0.177969044361555				
637.925	3.38578841758205				
639.108	-3.02882891373297				
640.291	-3.92671128267008				
641.474	-6.98178935071872				
642.657	-9.15969497721857				
643.84	-10.2643691976356				
645.024	3.43452143668542				
646.207	1.44979586819218				
647.391	5.45801037472742				
648.575	3.2803212810511				
649.758	4.75536807932465				
650.942	11.383642227493				
652.126	-2.95089378652862				
653.311	11.8505216575488				
654.495	-1.48527576892373				
655.679	8.9388244904815				
656.864	5.97942204281896				
658.048	-5.24050869030079				
659.233	-13.5045364171932				
660.418	6.02385127506514				
661.603	5.2938265931183				
662.788	-1.70591493905999				
663.973	16.8909820341985				
665.158	-6.26736797210318				
666.344	-1.52392471967604				
667.529	2.29432614505102				
668.715	14.1640450815556				
669.901	9.58690594757675				
671.086	11.333021067527				
672.272	15.5861832056561				
673.458	9.06008356615145				
674.644	21.6591285073806				
675.831	23.0399035692674				
677.017	17.2735798015509				
678.203	10.4895618806286				
679.39	2.13914943030938				
680.577	16.5502759265517				
681.763	18.3987020977652				
682.95	-3.33935341223402				
684.137	21.8542452413654				
685.324	15.3974315566588				
686.511	23.9255397590644				
687.698	34.2978643125399				
688.886	84.677703809764				
690.073	103.007338142401				
691.261	153.81832409755				
692.448	184.817637318127				
693.636	236.313977651298				
694.824	275.113695679634				
696.012	313.150490121373				
697.2	364.071608610151				
698.388	382.899766623407				
699.576	384.86988800266				
700.764	382.471774206093				
701.953	345.518563623631				
703.141	325.217911068419				
704.33	271.336167163971				
705.518	228.748745204866				
706.707	189.055786128322				
707.896	138.177040291058				
709.085	90.9693750583132				
710.274	62.3205174369117				
711.463	38.8515079139119				
712.652	37.4136215849455				
713.842	7.38554367309601				
715.031	15.8725202269143				
716.22	1.4897362055352				
717.41	1.28032112787816				
718.6	7.05278127740743				
719.789	-8.13478285690313				
720.979	3.64681055794766				
722.169	13.3452388494851				
723.359	-11.2204107111614				
724.549	2.81600490680688				
725.739	18.0267309856033				
726.929	3.92955250987326				
728.12	6.34034034549035				
729.31	-3.49431077360804				
730.501	-4.16935519638147				
731.691	2.21002251541212				
732.882	-15.0448270572803				
734.072	-8.4243796105603				
735.263	2.66572679953233				
736.454	5.57199409715803				
737.645	0.22414801289393				
738.836	11.4925250029155				
740.027	5.62640253992899				
741.218	5.42164247184684				
742.41	-9.7509949462882				
743.601	8.64284983084321				
