Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	0.89615298897286	0.00989898789074345	1.17166574849208	0.00374345821696784	0.984116673469543	0.886254001082117	1.14937179917648	0.771076862784624	0.00391561025722807	99.102449667705
595	0.952041098490753		1.2477646117134		0.982812881469727	0.94214211060001	1.22264001447712	0.770580137607333	0.00400055489962486	99.0830678904029
590	1.01175077598654		1.32905020526067		0.982779562473297	1.0018517880958	1.30248438500252	0.76918525828919	0.00407776589007441	99.0654539852909
585	1.06217507937392		1.39825457693238		0.981987595558167	1.05227609148318	1.36939262044648	0.768425414137323	0.00413860389261565	99.0515774050651
580	1.09932343982119		1.44989805267817		0.980610847473145	1.08942445193044	1.41811488245178	0.768220167076263	0.00418499493922973	99.0409973467828
575	1.1397679782338		1.50613109261461		0.979297995567322	1.12986899034305	1.47128519893074	0.767946956282975	0.00420905800468807	99.0355099089298
570	1.18458272170707		1.56841424544191		0.978484988212585	1.17468373381633	1.53100687679437	0.767262219145535	0.00427681463158563	99.020060049571
565	1.22849388730309		1.62932168965654		0.978631198406219	1.21859489941235	1.59084157273678	0.766006446082474	0.004314258709326	99.0115230887087
560	1.2837560452854		1.70552820546532		0.979763388633728	1.27385705739466	1.66734639068924	0.764002647864959	0.00439328784519101	98.9935074713442
555	1.35056707468153		1.79722514479618		0.981100916862488	1.34066808679078	1.75958652707895	0.761922227840876	0.00447025796426942	98.9759643820149
550	1.42180371441153		1.89477653051478		0.982443392276764	1.41190472652078	1.85783294645582	0.759973995086194	0.00454009249135373	98.9600503323012
545	1.49359491346548		1.99279162594833		0.982752025127411	1.48369592557474	1.95474111491396	0.759024258636952	0.00459933635735643	98.9465517124903
540	1.56220046128705		2.08628538289897		0.982404112815857	1.55230147339631	2.04589775191905	0.758738540056684	0.00489959098596663	98.8781674850804
535	1.6383728309778		2.18852128336936		0.983403861522675	1.62847384308706	2.14851894982397	0.757951817562734	0.00473180602080267	98.9163753733373
530	1.72671823162577		2.30772331719481		0.985359311103821	1.71681924373502	2.27024800663948	0.756225416216235	0.00482654296635885	98.8948001205195
525	1.82114085026703		2.43449589847536		0.986455500125885	1.81124186237628	2.39782911413731	0.755367366130231	0.00491346633191077	98.8750084606834
520	1.9215050533572		2.56831091869261		0.98695296049118	1.91160606546646	2.53110744749579	0.75524492939158	0.00496934991855119	98.8622863680794
515	2.02784582685807		2.70906849259307		0.987989187240601	2.01794683896732	2.67283188193489	0.754984573704841	0.0049986591624689	98.8556146713072
510	2.12926174930439		2.84277785729316		0.989577054977417	2.11936276141365	2.8094432996174	0.754371074761419	0.00507610809877226	98.8379870479265
505	2.26661792063054		3.02292020032335		0.991617441177368	2.2567189327398	2.99386831546975	0.753780291898278	0.0051893498838908	98.8122185165348
500	2.45222304195921		3.26494867591875		0.993805527687073	2.44232405406847	3.24100377227396	0.75357025960969	0.00530283126017351	98.7864022049791
495	2.86867148267798		3.81364027528879		0.99499124288559	2.85877249478724	3.79081396928414	0.754131571201075	0.00542522022472992	98.7585670319736
490	3.05889221433977		4.05368555264993		0.99444317817688	3.04899322644903	4.02743728782024	0.757055419750365	0.00544793574930212	98.7534016566765
485	3.46555687824216		4.5800217663671		0.996731162071228	3.45565789035142	4.56131919604384	0.75760054094627	0.00562983840051801	98.7120478175713
480	3.73922372529317		4.91968605211925		0.998985171318054	3.72932473740243	4.91095375435919	0.759389097095877	0.0056698116147904	98.7029626083002
475	4.67164392176272		6.1310656883921		1.00243234634399	4.66174493387198	6.14222600000017	0.758966689579942	0.0059730171466335	98.6340765390892
470	5.91188650713899		7.71225072846071		1.00769698619843	5.90198751924824	7.76783954431327	0.759797815799247	0.00599388037718493	98.6293383346282
465	6.02036748326802		7.8149758696518		1.01307439804077	6.01046849537727	7.91335957317091	0.759534359560115	0.00601325214449545	98.6249390570398
460	5.66118981380478		7.33663021970771		1.01598358154297	5.65129082591404	7.45009255498838	0.75855310309267	0.00608065352741215	98.6096339086852
455	5.23991728863264		6.80440954800623		1.01623702049255	5.23001830074189	6.91108864445219	0.756757519662295	0.00615027404265316	98.5938273452559
450	4.54518914443598		5.93380968087951		1.01419520378113	4.53529015654523	6.01424472112882	0.754091389166818	0.00625174242895613	98.5707946142763
445	3.62032714617842		4.76854894334816		1.01049888134003	3.61042815828767	4.8148306125279	0.749855695627913	0.00682921719880428	98.4398136282971
440	3.42966970065118		4.5437893519611		1.00642335414886	3.41977071276044	4.56920821637175	0.748438361926076	0.00724083020919399	98.3465591332391
435	3.46449362141047		4.58555020140361		1.00416374206543	3.45459463351973	4.60088420465892	0.750854505319121	0.00738498073862527	98.3139214722527
430	3.76924055622792		4.95964286104162		1.00603294372559	3.75934156833718	4.98579806503156	0.75400999384707	0.0074557805559111	98.2978953871203
425	3.8750733145941		5.08944689616748		1.00844466686249	3.86517432670335	5.12865050924541	0.753643540291078	0.00763192844387869	98.2580342872817
420	3.52228769100376		4.66354303556462		1.00632703304291	3.51238870311301	4.68928228324686	0.749024795470627	0.00800449425575451	98.1737783545949
415	3.11648582250807		4.19187829623836		1.00108110904694	3.10658683461733	4.19266266848457	0.740957973549587	0.00894954509501199	97.9603785945091
