Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	0.899892550725496	0.00988898703247653	1.17063383870617	0.00373879971440772	0.984116673469543	0.890003563693019	1.14836086406068	0.775020807088379	0.00169991975249556	99.6093440652928
595	0.956566180259781		1.24722487172532		0.982812881469727	0.946677193227305	1.22211412950052	0.77462257441882	0.00172821614147701	99.6028542454975
590	1.01655513326715		1.32842296771434		0.982779562473297	1.00666614623467	1.30187252704228	0.773244788045195	0.0017917167468318	99.5882918243049
585	1.06664760865293		1.39683468313923		0.981987595558167	1.05675862162045	1.36800287694632	0.772482747974453	0.0018515347313594	99.574575876007
580	1.1050004509069		1.44984092011004		0.980610847473145	1.09511146387443	1.41806342581387	0.77225845046099	0.00190802960161105	99.5616236348357
575	1.14513816681097		1.50541305489775		0.979297995567322	1.1352491797785	1.4705865880961	0.77197030692919	0.00193968548443728	99.5543668163377
570	1.1907434217557		1.56838872725354		0.978484988212585	1.18085443472322	1.53098646590495	0.771302987335836	0.00199561477716089	99.5415468357907
565	1.2342847851071		1.62867451863862		0.978631198406219	1.22439579807463	1.59021278994388	0.769957206870309	0.00208009465196012	99.5221856881726
560	1.28943719638575		1.70425588369306		0.979763388633728	1.27954820935327	1.66610438062847	0.767988022977657	0.00213370447153984	99.5099013112053
555	1.35768057318826		1.79737505690496		0.981100916862488	1.34779158615578	1.75973817644745	0.765904612512695	0.00220621657025871	99.4932879998734
550	1.42932109231118		1.89508301549891		0.982443392276764	1.4194321052787	1.85813862731836	0.76390000423553	0.00230231183148029	99.4712758025613
545	1.50130221446008		1.99281079831154		0.982752025127411	1.4914132274276	1.95476453474555	0.762963109324947	0.00235145313064912	99.4600210632424
540	1.56952741438277		2.08540199056851		0.982404112815857	1.5596384273503	2.04503448019245	0.762646518900515	0.00266844329570888	99.3874519964743
535	1.64807302319978		2.19050184671594		0.983403861522675	1.6381840361673	2.15047122465639	0.761779100963816	0.00254435091869426	99.4158543544406
530	1.73484406777494		2.30709898858402		0.985359311103821	1.72495508074246	2.26963740892853	0.760013504340675	0.0026565034429482	99.3901844462405
525	1.82941263246054		2.43365216190647		0.986455500125885	1.81952364542806	2.39700140096374	0.759083263237353	0.00278226863399909	99.361406701301
520	1.93121775046195		2.56919531444103		0.98695296049118	1.92132876342947	2.53198490222083	0.758823151648437	0.00291659536435687	99.3306790969535
515	2.0356833274371		2.70727016740494		0.987989187240601	2.02579434040462	2.67105975864404	0.758423443672042	0.00302498807842102	99.3058908971036
510	2.13795120422572		2.84184919030469		0.989577054977417	2.12806221719325	2.80852892202114	0.757714189983062	0.00315571525755859	99.2760032842742
505	2.27565702581903		3.02175788587487		0.991617441177368	2.26576803878656	2.9927203636429	0.757093133829766	0.00328482068706671	99.2464952737852
500	2.46237408561982		3.26443580238565		0.993805527687073	2.45248509858735	3.24049870536735	0.756823353925497	0.00343205653970909	99.2128541242183
495	2.87718393137443		3.80904712589308		0.99499124288559	2.86729494434196	3.7862484610274	0.757291808463071	0.00360908369680178	99.1724212125891
490	3.0706938109723		4.05392823331302		0.99444317817688	3.06080482393982	4.02768325256622	0.75994179085201	0.00379528069350901	99.1299116945083
485	3.47605767654005		4.57598179568012		0.996731162071228	3.46616868950757	4.55729707464094	0.760575541321423	0.00392775928667642	99.0996773973002
480	3.74953822964649		4.91586431385327		0.998985171318054	3.73964924261402	4.90714054827779	0.76208317365731	0.00413179632555362	99.0531300509511
475	4.69105215898986		6.13322464834441		1.00243234634399	4.68116317195738	6.14439488112448	0.761859102893577	0.00432107165455887	99.0099698688974
470	5.9289496711333		7.7078459604119		1.00769698619843	5.91906068410083	7.76340556718457	0.7624309502933	0.00449140328974349	98.9711454673866
465	6.03703079863112		7.81451201223178		1.01307439804077	6.02714181159865	7.91289437050402	0.76168612007072	0.00478463558050097	98.9043434665343
460	5.67585924733992		7.33956457028192		1.01598358154297	5.66597026030744	7.45307853995639	0.760218778043441	0.00512804999454064	98.8261666688001
455	5.24344753520056		6.79773254363838		1.01623702049255	5.23355854816808	6.90430795957035	0.758013486480369	0.00543008652740588	98.7574604409241
450	4.55425983775911		5.93909403388574		1.01419520378113	4.54437085072663	6.01960881123378	0.75492793522495	0.0057702278873603	98.6801434423707
445	3.62476768571146		4.76621103075985		1.01049888134003	3.61487869867898	4.81247286188436	0.751147861489144	0.00608147660990951	98.6094470221596
440	3.43499799164552		4.54193957169506		1.00642335414886	3.42510900461304	4.56735124273773	0.749911452520561	0.00638688366549286	98.5401266982238
435	3.4652611580285		4.58086600708639		1.00416374206543	3.45537217099602	4.59618518446414	0.751791329617386	0.00684345902205884	98.4365855434415
430	3.77058700641785		4.95983846650959		1.00603294372559	3.76069801938538	4.98599953718335	0.754251578111826	0.00731665520000958	98.3293899627599
425	3.87314239419166		5.08912372966487		1.00844466686249	3.86325340715918	5.12832931155141	0.75331617227804	0.00782061845684284	98.2153529190618
420	3.51973220273272		4.66424867032743		1.00632703304291	3.50984321570024	4.68999707056118	0.748367890831171	0.00838554336994402	98.0876786542057
415	3.11353927222688		4.19020745884269		1.00108110904694	3.1036502851944	4.19099468827038	0.740552187737387	0.00918745172310687	97.9067305696407
