Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
600	247.409	-8.63261073217038
600	248.53	12.0856550250385
600	249.652	8.63261073217038
600	250.774	14.3781379048562
600	251.895	15.9093431358548
600	253.018	0
600	254.14	-6.35164011593647
600	255.263	-13.6598847248657
600	256.386	-12.1351230532586
600	257.509	-22.9409813228088
600	258.632	12.396345632678
600	259.756	14.268987106172
600	260.88	9.33100041760883
600	262.004	8.51205294451357
600	263.128	23.5766397563528
600	264.252	0.884849355388742
600	265.377	-19.7235391798133
600	266.502	-15.4058177732167
600	267.627	22.0887264444257
600	268.753	5.54447139086923
600	269.879	-5.57012053483559
600	271.005	-12.1161825490411
600	272.131	0.931989555613972
600	273.257	23.3827349634872
600	274.384	-21.4950493805727
600	275.511	13.9378459484198
600	276.638	17.5794644592245
600	277.765	-26.8199603884065
600	278.893	6.41024398737082
600	280.02	-10.0736105275384
600	281.149	-2.71937969201459
600	282.277	11.6987585283805
600	283.405	-16.0831725462062
600	284.534	1.77792144217581
600	285.663	-29.0801851667506
600	286.792	-20.1478973597852
600	287.922	-13.1045024915241
600	289.051	0
600	290.181	-0.86214815405026
600	291.311	-8.5506511095451
600	292.441	4.25621642763946
600	293.572	-22.793806177194
600	294.703	0.838287017732214
600	295.834	-7.5172806053511
600	296.965	-9.10535157454741
600	298.096	-4.10811051256121
600	299.228	-4.9245217512051
600	300.36	8.20831738285184
600	301.492	4.90331703295608
600	302.624	-8.96865535200874
600	303.757	-10.5591114142086
600	304.89	-12.1732911734743
600	306.023	0
600	307.156	16.2269401229
600	308.29	-17.8176383777304
600	309.423	2.43258256490994
600	310.557	0.809792213162983
600	311.691	-12.9684184700908
600	312.826	-20.2880299478887
600	313.96	-9.71503628388992
600	315.095	5.66140082322718
600	316.23	8.09080610448225
600	317.365	6.45833912399343
600	318.501	1.61807378921996
600	319.637	-6.46054568988703
600	320.773	-0.814824524502961
600	321.909	-2.47119282104943
600	323.045	4.1466939683321
600	324.182	16.7589140691102
600	325.318	6.74708764674586
600	326.455	-1.69742520775545
600	327.593	-15.3658880331087
600	328.73	5.15002559451512
600	329.868	-27.6081105425838
600	331.006	11.2383246336144
600	332.144	12.996986733851
600	333.282	-6.06596294175948
600	334.421	33.8188060299045
600	335.559	-11.2780775978105
600	336.698	-19.9277026139388
600	337.837	-8.65554665017966
600	338.977	-8.66685460822017
600	340.116	-14.7156541484801
600	341.256	-4.32338909738313
600	342.396	-8.65001012604893
600	343.537	3.4647503311381
600	344.677	7.80653138717186
600	345.818	1.73576474377844
600	346.959	12.1763349238811
600	348.1	11.3547946891815
600	349.241	-2.63023231073413
600	350.382	7.9160750627109
600	351.524	0
600	352.666	7.96656014417536
600	353.808	0.887220867114301
600	354.951	-16.0039979417618
600	356.093	-6.24491519875205
600	357.236	-17.0238917589923
600	358.379	-19.7471871019844
600	359.522	-19.7872839580638
600	360.666	14.4004891515973
600	361.809	20.6690231583003
600	362.953	17.1265830707908
600	364.097	-9.87717102100675
600	365.241	0
600	366.386	-11.6282532708241
