Wavelength	I	I dark	R	R dark	XCorrect	Ic	Rc	Ic/Rc	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.167602443216097	0.00990986079547753	0.181824174631285	0.00378487740911649	1.26322114467621	0.157692582420619	0.224903004834336	0.7011581838881	1.27050064068605E-4	99.9707499203113
799	0.172841176677525		0.187837607205371		1.25946629047394	0.162931315882047	0.23180820884809	0.702871208451554	1.29707082012778E-4	99.9701383001436
798	0.174870922915752		0.190243989375015		1.25578379631042	0.164961062120275	0.234152331481207	0.704503179945976	2.1323567420499E-4	99.9509127232759
797	0.174646175640344		0.190053532413191		1.25213968753815	0.164736314844867	0.233234375474953	0.7063123285725	1.6931829019727E-4	99.9610206218364
796	0.172798347545616		0.1880313867685		1.24854493141174	0.162888486750138	0.230040045390965	0.708087526557826	1.38184027003495E-4	99.9681870133373
795	0.17103932770096		0.18617925283425		1.24499154090881	0.161129466905482	0.227079454513638	0.7095730754268	1.84160401392916E-4	99.9576044899405
794	0.172020439223529		0.187489672293126		1.24150061607361	0.162110578428051	0.228069616024173	0.710794279632887	1.76457019313202E-4	99.9593775229409
793	0.17674751859612		0.193113408652185		1.23799812793732	0.166837657800642	0.234388367244041	0.71180007677998	2.61584335640324E-4	99.9397861166587
792	0.184495234133704		0.202173467972672		1.23457276821136	0.174585373338227	0.2449251514336	0.71281112746625	1.57112836470293E-4	99.9638299754137
791	0.191881591602359		0.21073718005851		1.23109483718872	0.181971730806881	0.254777911335985	0.714236685011943	2.06714373909824E-4	99.9524135823417
790	0.19645377252281		0.215985282797854		1.22767388820648	0.186543911727332	0.260512896762583	0.716064018501694	1.31365820380146E-4	99.9697564763023
789	0.196919203734329		0.216617165081401		1.22422575950623	0.187009342938851	0.26055476902305	0.717735252515403	2.61084604159486E-4	99.9399011148641
788	0.192290674585648		0.211389198412227		1.22079539299011	0.182380813790171	0.253442398645438	0.719614455848481	2.01765227377948E-4	99.9535526296478
787	0.186006690426493		0.204316144699035		1.21735346317291	0.176096829631015	0.244117432709835	0.721361140317778	1.65864767474425E-4	99.9618155180257
786	0.180523701900123		0.198259157532991		1.21391463279724	0.170613841104645	0.236075174345081	0.722709796055269	1.60748783205089E-4	99.9629930740602
785	0.177488928657855		0.194978281577167		1.21042191982269	0.167579067862377	0.231424687330528	0.724119236350248	4.61035522278204E-5	99.9893848282398
784	0.177119057329071		0.19483139932983		1.20695853233337	0.167209196533594	0.23058522970482	0.725151375687178	1.7222249163845E-4	99.9603521676387
783	0.179329971932053		0.197508459827861		1.20348119735718	0.169420111136576	0.233142688925632	0.726679922571441	6.34096270696019E-5	99.9854004596324
782	0.181337256660666		0.19997818981372		1.20004236698151	0.171427395865188	0.235440287003962	0.728114113547201	1.78553347576685E-4	99.9588950227681
781	0.183908544377748		0.203028684567766		1.1966587305069	0.17399868358227	0.23842684133583	0.729778084578944	1.41521674445218E-4	99.9674187390547
780	0.186396710413948		0.206096184097745		1.19330596923828	0.17648684961847	0.241419289915937	0.731038723872992	2.39961993434232E-4	99.9447619709231
779	0.189830633549336		0.210178454131482		1.19010949134827	0.179920772753858	0.245630954610604	0.732484116422072	2.27657838433457E-4	99.9475935824546
778	0.194137769877035		0.215283479021056		1.18701219558716	0.184227909081557	0.251051419463002	0.733825403081248	2.2914823034994E-4	99.9472505874681
777	0.199545658458636		0.22164134947905		1.1839507818222	0.189635797663159	0.257931340432225	0.735218129543231	1.97468330319063E-4	99.9545415721026
776	0.205572600687667		0.228755089036501		1.1809515953064	0.195662739892189	0.265678930317778	0.736463142403342	2.06909276446286E-4	99.9523687257401
775	0.213337271219385		0.237856326678662		1.17803692817688	0.203427410423907	0.275744811071406	0.737737945579067	1.64199838955164E-4	99.9621987363337
774	0.222123950833628		0.248126810608266		1.17517721652985	0.21221409003815	0.287145072938498	0.739048341893728	1.92375720828695E-4	99.9557136625912
773	0.232380782724711		0.260152090940464		1.17244553565979	0.222470921929234	0.300576594994369	0.74014718921612	2.84326900515851E-4	99.9345527378032
772	0.244740349363863		0.274501981019843		1.1697244644165	0.234830488568385	0.316664419029445	0.741575227454113	3.32906966392746E-5	99.9923348276077
771	0.259899657736822		0.292256309867358		1.16703009605408	0.249989796941344	0.336654843530598	0.742570029052984	1.49437226330382E-4	99.9655967263152
