Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	0.909099707060776	0.00990013239910069	1.17845894853818	0.00377545671671028	0.984116673469543	0.899199574661675	1.15602561035093	0.777837070918097	1.24644643127675E-4	99.9713036284778
595	0.966909130047555		1.25616153550797		0.982812881469727	0.957008997648454	1.23086117080941	0.777511729465906	1.1141591956692E-4	99.9743488269244
590	1.02777559342739		1.33817601577108		0.982779562473297	1.01787546102829	1.31142159759157	0.776161886381633	1.56405335732095E-4	99.9639928246878
585	1.07870687496216		1.40732130907389		0.981987595558167	1.06880674256306	1.37826461681186	0.775472815253267	1.73745826275189E-4	99.96000154656
580	1.11722936321155		1.46009582912668		0.980610847473145	1.10732923081245	1.42808355458135	0.775395268197086	1.4755245798064E-4	99.9660305619025
575	1.15868905603905		1.517077804607		0.979297995567322	1.14878892363995	1.48197395597628	0.775174839616639	1.40613359184622E-4	99.9676278184484
570	1.20387641913974		1.57908730265024		0.978484988212585	1.19397628674064	1.54141899299942	0.774595546157965	1.45632700011827E-4	99.9664724533285
565	1.2480574345882		1.63969057755457		0.978631198406219	1.2381573021891	1.60095757519641	0.773385454662786	1.50683141741858E-4	99.9653099427982
560	1.30552180691718		1.71789626632898		0.979763388633728	1.29562167451808	1.67943281295331	0.771463832625556	1.72581088811668E-4	99.9602696303594
555	1.37386522461284		1.81043338265844		0.981100916862488	1.36396509221374	1.77251374759832	0.769508893266335	1.67258189529818E-4	99.9614947937688
550	1.44597943636082		1.90793210663409		0.982443392276764	1.43607930396172	1.87072611857119	0.767658766136521	1.70610637396581E-4	99.9607231643318
545	1.5188574353372		2.00595769889377		0.982752025127411	1.50895730293809	1.96764865317364	0.766883508650937	1.25594013619745E-4	99.9710850908129
540	1.58872469763126		2.09880969376201		0.982404112815857	1.57882456523216	2.05817025096333	0.767101052254151	1.39157079517922E-4	99.9679630312449
535	1.6672769489043		2.20387893528553		0.983403861522675	1.6573768165052	2.16359025657405	0.766030819130042	1.27162130172324E-4	99.9707241236884
530	1.75573221466413		2.32161384326235		0.985359311103821	1.74583208226503	2.2839036358166	0.764407068182108	1.53118419246088E-4	99.9647493955242
525	1.85423170584769		2.45203646359082		0.986455500125885	1.84433157344859	2.4151005359747	0.763666582809252	1.67897777131046E-4	99.9613475800964
520	1.95567806286421		2.58538476750134		0.98695296049118	1.94577793046511	2.54792695211049	0.763671002755156	1.50867700844731E-4	99.9652674612453
515	2.06517765654288		2.72857940071823		0.987989187240601	2.05527752414378	2.69207683402404	0.763454258871061	1.53714999014174E-4	99.9646120764733
510	2.16688494129273		2.86069033524893		0.989577054977417	2.15698480889363	2.82713741181908	0.762957187675481	1.60966987078919E-4	99.9629428493676
505	2.30890176933854		3.04425135990608		0.991617441177368	2.29900163693944	3.01498893508209	0.762524071046661	1.80570354363475E-4	99.9584307817752
500	2.49908420510204		3.28850099271917		0.993805527687073	2.48918407270294	3.26437839461413	0.76252926952642	1.70062883426976E-4	99.9608492398859
495	2.92240364799062		3.83859149345081		0.99499124288559	2.91250351559152	3.81560837462765	0.763313010569576	1.69677897359186E-4	99.9609378515376
490	3.11879232884651		4.08359280594839		0.99444317817688	3.10889219644741	4.05714653115113	0.766275551690595	1.90639209514895E-4	99.9561133328194
485	3.53375668509856		4.61219568469558		0.996731162071228	3.52385655269945	4.59335604914593	0.767163815518866	1.82004026035059E-4	99.9581008044443
480	3.80988065128037		4.9498922824673		0.998985171318054	3.79998051888127	4.94109736453156	0.769055988687551	1.76210706706468E-4	99.9594342154914
475	4.76545001269648		6.17176825170602		1.00243234634399	4.75554988029738	6.18299548971398	0.76913364860264	1.93921042259298E-4	99.9553579973961
470	6.03268511017192		7.76547237619727		1.00769698619843	6.02278497777282	7.82143859354616	0.770035448816604	1.81202614095607E-4	99.9582852592156
465	6.14939500960792		7.8771646926455		1.01307439804077	6.13949487720882	7.97632906072925	0.76971434233275	2.31098273098525E-4	99.9468018113915
460	5.78059735239015		7.39091808570172		1.01598358154297	5.77069721999105	7.50521562556494	0.768891595910235	2.01528801152922E-4	99.9536070435272
455	5.34937151182809		6.85241180611521		1.01623702049255	5.33947137942899	6.95983779814973	0.767183307181166	2.07874506374957E-4	99.9521465794441
