Wavelength	I	I dark	R	R dark	XCorrect	Ic	Rc	Ic/Rc	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.167938208099704	0.00989786894657983	0.182602090296664	0.0037656749050352	1.26322114467621	0.158040339153124	0.225909941360804	0.699572308332886	0.00111044737100295	99.7446366520386
799	0.17255795486164		0.187996131717982		1.25946629047394	0.16266008591506	0.232032050034521	0.70102421579631	0.00127244060365517	99.7074385210605
798	0.174986260859322		0.190817686653607		1.25578379631042	0.165088391912742	0.234896885421123	0.702812179126052	0.00125691458197759	99.7110031243154
797	0.174503138226365		0.190356901171134		1.25213968753815	0.164605269279785	0.233638279754193	0.704530393961828	0.0012663715161561	99.7088319014099
796	0.172564279248211		0.188187944995414		1.24854493141174	0.162666410301632	0.230259490560789	0.706448233275696	0.00114478473033428	99.736750684845
795	0.170585303769364		0.186107380695561		1.24499154090881	0.160687434822784	0.227013881264088	0.707830877689168	0.00125178440965531	99.7121809832822
794	0.171994046096193		0.187888983738674		1.24150061607361	0.162096177149613	0.228589201350473	0.709115637099091	0.00120331868224465	99.7233091307635
793	0.176753304538174		0.193535663022141		1.23799812793732	0.166855435591595	0.234934890027664	0.710219906340635	0.00122677412605788	99.7179234042374
792	0.184332557132401		0.202463382484148		1.23457276821136	0.174434688185821	0.245306778883198	0.711087924190134	0.00120828010636771	99.7221698880928
791	0.191528192708507		0.210812938229288		1.23109483718872	0.181630323761927	0.254894816932542	0.712569702074389	0.00122151473808172	99.7191310143841
790	0.195918063143847		0.215917210860565		1.22767388820648	0.186020194197267	0.260452901035503	0.714218169418318	0.00125232296178442	99.7120573340619
789	0.19691753785604		0.217098196878795		1.22422575950623	0.18701966890946	0.261167168740705	0.716091803618466	0.00125665948432368	99.7110616929859
788	0.192090397639427		0.211615396989204		1.22079539299011	0.182192528692847	0.253741983154629	0.718022797913659	0.00116341050861106	99.7324733227167
787	0.185391448806026		0.204097963662004		1.21735346317291	0.175493579859446	0.243875205503652	0.719604026563572	0.00122502317504317	99.7183254391663
786	0.180565097087335		0.198744421355515		1.21391463279724	0.170667228140756	0.2366875534007	0.721065496214854	0.00114997565231704	99.7355585845095
785	0.177177888353006		0.195100153715658		1.21042191982269	0.167280019406426	0.231595447170228	0.722294075511216	0.00114213564096282	99.7373590563142
784	0.176918724116066		0.195062083418568		1.20695853233337	0.167020855169486	0.23088683246014	0.723388395041196	0.00122936038977664	99.7173295765692
783	0.179067595147823		0.1976769828527		1.20348119735718	0.169169726201244	0.233368613069952	0.724903507698935	0.00112636962750356	99.7409798462466
782	0.181003699151623		0.200100631105039		1.20004236698151	0.171105830205043	0.235610265559463	0.72622400301085	0.00130740368704138	99.6994118495
781	0.183688084059109		0.203262844227169		1.1966587305069	0.17379021511253	0.238730029380745	0.727978024228179	0.00121406964051471	99.7208405111756
780	0.186159280033122		0.206272652755487		1.19330596923828	0.176261411086542	0.241652785481349	0.729399459374931	0.00121490750367223	99.7206481248083
779	0.189630701261011		0.210425483625734		1.19010949134827	0.179732832314431	0.245947799838721	0.730776337223956	0.00124139318125479	99.71456679403
778	0.193870781505299		0.21547247991294		1.18701219558716	0.183972912558719	0.251298559433176	0.73208900589675	0.00125800511816203	99.7107527450799
777	0.198840520827177		0.221334821198109		1.1839507818222	0.188942651880597	0.257591160854075	0.733498196343906	0.00121462572959285	99.7207128244628
776	0.205101254788061		0.228738018457041		1.1809515953064	0.195203385841481	0.26568144801756	0.734727197920795	0.00123180923519075	99.7167673045465
775	0.212915395839601		0.23792072468103		1.17803692817688	0.203017526893021	0.275843295555217	0.735988621671546	0.00119522159535561	99.725168412564
774	0.222056691236118		0.248647570570174		1.17517721652985	0.212158822289539	0.28777962452631	0.737226697820443	0.00126416837364508	99.7093377179299
773	0.231952239444869		0.260251226529667		1.17244553565979	0.222054370498289	0.300715339963539	0.738420496025286	0.00129867838824785	99.7014149048755
772	0.244352592636286		0.274685620545477		1.1697244644165	0.234454723689706	0.316901688314014	0.739834252499747	0.0010540701288404	99.7575856826543
771	0.259219890130895		0.292104742790327		1.16703009605408	0.249322021184316	0.336500370090315	0.74092643974626	0.00111176113271908	99.7443349201671
770	0.282587498680101		0.319497389470422		1.16448152065277	0.272689629733521	0.367663747095408	0.741682126366293	0.00126477978386996	99.7091973448231
769	0.318925529731496		0.361857005390028		1.16197168827057	0.309027660784916	0.416091987838702	0.742690726610941	0.00112774195124587	99.7406646760012
768	0.365514895695236		0.416513398604249		1.15950226783752	0.355617026748656	0.478581921674015	0.743064062062262	0.00124370633229782	99.7140356930155
767	0.422093723899334		0.48269534414058		1.15713560581207	0.412195854952754	0.554186572952248	0.743785351487163	0.00104625206614458	99.7593815103971
766	0.473641032042971		0.542782914090912		1.15489220619202	0.463743163096391	0.622506808538907	0.744960788758034	0.00127283950508403	99.7073469393732
765	0.505373877985508		0.579170651982623		1.15279674530029	0.495476009038929	0.663324984804633	0.74695815835259	0.00117509301513353	99.7297905587216
764	0.502693641179812		0.575663230121638		1.1508207321167	0.492795772233232	0.658151563190121	0.748757276887113	0.00120293007773206	99.7233983627176
763	0.477645803450308		0.546306548415211		1.14889180660248	0.467747934503728	0.623320764322793	0.750412887354897	0.00119639769019453	99.7248983513452
