Wavelength	I	I dark	R	R dark	XCorrect	Ic	Rc	Ic/Rc	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.167981900402233	0.009888877953116	0.182375971256125	0.00376824901982441	1.26322114467621	0.158093022449117	0.22562105133135	0.700701559168519	4.09973664679088E-4	99.9056446178309
799	0.17261417014767		0.187738216603656		1.25946629047394	0.162725292194554	0.231703972631419	0.702298240062582	4.83880770729825E-4	99.8886443814877
798	0.175110649935058		0.190652159119783		1.25578379631042	0.165221771981942	0.234685786094663	0.704012691741367	5.15704866910339E-4	99.8813250405993
797	0.174642298000589		0.19016631241152		1.25213968753815	0.164753420047473	0.233396412852993	0.705895253631189	4.25843397554456E-4	99.9019939913747
796	0.172478978040056		0.18781837960535		1.24854493141174	0.16259010008694	0.229794857668227	0.707544554028638	4.71335540096682E-4	99.8915298525977
795	0.171111147959767		0.186362473315391		1.24499154090881	0.161222270006651	0.227328264666787	0.709204683557355	4.09693341503421E-4	99.9057091037449
794	0.171851697425802		0.187442713942178		1.24150061607361	0.161962819472686	0.228031961358092	0.710263677548019	5.00775344388307E-4	99.8847586695882
793	0.17715820394299		0.193694856823385		1.23799812793732	0.167269325989874	0.235128784906293	0.711394506872209	5.09107449854536E-4	99.8828423607358
792	0.184369193675529		0.202161250641788		1.23457276821136	0.174480315722413	0.24493059720619	0.712366350764783	4.28186546724503E-4	99.9014549915656
791	0.191980226703283		0.210992699733697		1.23109483718872	0.182091348750167	0.255112951413117	0.713767559590878	4.92061689631904E-4	99.8867627706538
790	0.196281794717406		0.215982358450942		1.22767388820648	0.18639291676429	0.260529720857576	0.71543820854967	5.11086956767665E-4	99.8823870974649
789	0.197508874294717		0.217415760315942		1.22422575950623	0.187619996341601	0.261552786783104	0.717331283865031	5.05590842588383E-4	99.8836511440981
788	0.192250435251703		0.211482734979542		1.22079539299011	0.182361557298587	0.253576887516932	0.719156856463938	4.78018851048906E-4	99.8899926444441
787	0.18594531061259		0.204395416205981		1.21735346317291	0.176056432659474	0.244234176780639	0.720850926680915	4.73146867514966E-4	99.8911132323156
786	0.180550795787344		0.198404448097901		1.21391463279724	0.170661917834228	0.236271730132914	0.722312050359229	3.99829964962618E-4	99.9079781144243
785	0.177050375612427		0.194669704231599		1.21042191982269	0.167161497659311	0.231071305914382	0.723419539253605	4.65953599582131E-4	99.8927677536651
784	0.177362358719701		0.19525649145307		1.20695853233337	0.167473480766585	0.231118368046327	0.72462211542189	4.89313160388523E-4	99.8873949282535
783	0.178745476389955		0.197012552618538		1.20348119735718	0.168856598436839	0.232565885877434	0.7260591887747	4.34544784037749E-4	99.8999924067631
782	0.181373033561768		0.200143265878123		1.20004236698151	0.171484155608652	0.235658340046666	0.727681250638929	4.36817637528481E-4	99.8994695876581
781	0.183832147626649		0.203114723538369		1.1966587305069	0.173943269673533	0.238549699128387	0.729169939467905	5.0358266203985E-4	99.8841130078275
780	0.186396630305306		0.20619315293891		1.19330596923828	0.17650775235219	0.241554846169131	0.730715012145123	4.32314803589136E-4	99.900505366543
779	0.190088775828883		0.210567566602461		1.19010949134827	0.180199897875767	0.24611383065944	0.73218111063867	4.07349059556436E-4	99.9062483870932
778	0.194378632531712		0.215676551910721		1.18701219558716	0.184489754578596	0.251537739877672	0.733447611751292	4.52791263211806E-4	99.8957952895643
777	0.198944001928753		0.221091241906785		1.1839507818222	0.189055123975637	0.257299727336459	0.734766126387761	4.64549398185127E-4	99.8930907367944
776	0.205520956362617		0.228812746468827		1.1809515953064	0.195632078409501	0.265766658277326	0.736104670456291	4.18352702327258E-4	99.9037171121474
775	0.213228704554169		0.237828542140504		1.17803692817688	0.203339826601053	0.275731668716066	0.73745546729506	3.30522112943395E-4	99.9239234238955
774	0.222192463940654		0.248355264624992		1.17517721652985	0.212303585987538	0.287433088198223	0.738619159395897	4.44653849184782E-4	99.8976670634306
773	0.232604089951908		0.260460511692711		1.17244553565979	0.222715211998792	0.300957697409236	0.740021650604099	3.57995153934426E-4	99.9176025348889
772	0.24460358006967		0.274600603150797		1.1697244644165	0.234714702116554	0.316799230382513	0.740894167682014	4.32328305979689E-4	99.900502260596
771	0.259713358985735		0.292265475821911		1.16703009605408	0.249824481032619	0.336684946306174	0.742012625671225	4.75558811406597E-4	99.8905584679762
